data,valor
2023-12-01,736.45
2023-11-01,749.28
2023-10-01,750.12
2023-09-01,748.35
2023-08-01,739.32
2023-07-01,730.77
2023-06-01,733.85
2023-05-01,736.26
2023-04-01,747.81
2023-03-01,748.68
2023-02-01,750.19
2023-01-01,741.55
2022-12-01,725.04
2022-11-01,715.32
2022-10-01,713.85
2022-09-01,700.04
2022-08-01,695.46
2022-07-01,691.08
2022-06-01,777.93
2022-05-01,777.93
2022-04-01,803.99
2022-03-01,761.19
2022-02-01,715.65
2022-01-01,713.86
2021-12-01,692.27
2021-11-01,692.27
2021-10-01,673.45
2021-09-01,673.45
2021-08-01,650.50
2021-07-01,640.51
2021-06-01,626.76
2021-05-01,636.40
2021-04-01,632.61
2021-03-01,626.00
2021-02-01,639.47
2021-01-01,654.15
2020-12-01,631.46
2020-11-01,629.18
2020-10-01,595.87
2020-09-01,582.61
2020-08-01,539.95
2020-07-01,524.74
2020-06-01,547.03
2020-05-01,556.36
2020-04-01,556.25
2020-03-01,518.50
2020-02-01,519.76
2020-01-01,515.94
2019-12-01,506.50
2019-11-01,498.45
2019-10-01,473.59
2019-09-01,473.85
2019-08-01,459.02
2019-07-01,468.10
2019-06-01,501.68
2019-05-01,507.07
2019-04-01,522.05
2019-03-01,509.11
2019-02-01,482.40
2019-01-01,467.65 
