data,valor
2024-02-01,10983
2024-01-01,10967
2023-12-01,10952
2023-11-01,10934
2023-10-01,10912
2023-09-01,10889
2023-08-01,10867
2023-07-01,10845
2023-06-01,10823
2023-05-01,10801
2023-04-01,10778
2023-03-01,10756
2023-02-01,10734
2023-01-01,10712
2022-12-01,10690
2022-11-01,10668
2022-10-01,10646
2022-09-01,10624
2022-08-01,10602
2022-07-01,10580
2022-06-01,10558
2022-05-01,10536
2022-04-01,10514
2022-03-01,10492
2022-02-01,10470
2022-01-01,10448
2021-12-01,10425
2021-11-01,10402
2021-10-01,10380
2021-09-01,10358
2021-08-01,10336
2021-07-01,10314
2021-06-01,10292
2021-05-01,10270
2021-04-01,10248
2021-03-01,10226
2021-02-01,10204
2021-01-01,10182
2020-12-01,9984
2020-11-01,9962
2020-10-01,9940
2020-09-01,9918
2020-08-01,9896
2020-07-01,9874
2020-06-01,9852
2020-05-01,9830
2020-04-01,9808
2020-03-01,9786
2020-02-01,9764
2020-01-01,9742
2019-12-01,9720
2019-11-01,9698
2019-10-01,9676
2019-09-01,9654
2019-08-01,9632
2019-07-01,9610
2019-06-01,9588
2019-05-01,9566
2019-04-01,9544
2019-03-01,9522
2019-02-01,9500
2019-01-01,9478
2018-12-01,9456
2018-11-01,9434
2018-10-01,9412
2018-09-01,9390
2018-08-01,9368
2018-07-01,9346
2018-06-01,9324
2018-05-01,9302
2018-04-01,9280
2018-03-01,9258
2018-02-01,9236
2018-01-01,9214
2017-12-01,9192
2017-11-01,9170
2017-10-01,9148
2017-09-01,9126
2017-08-01,9104
2017-07-01,9082
2017-06-01,9060
2017-05-01,9038
2017-04-01,9016
2017-03-01,8994
2017-02-01,8972
2017-01-01,8950
2016-12-01,8928
2016-11-01,8906
2016-10-01,8884
2016-09-01,8862
2016-08-01,8840
2016-07-01,8818
2016-06-01,8796
2016-05-01,8774
2016-04-01,8752
2016-03-01,8730
2016-02-01,8708
2016-01-01,8686
2015-12-01,8664
2015-11-01,8642
2015-10-01,8620
2015-09-01,8598
2015-08-01,8576
2015-07-01,8554
2015-06-01,8532
2015-05-01,8510
2015-04-01,8488
2015-03-01,8466
2015-02-01,8444
2015-01-01,8422
2014-12-01,8400
2014-11-01,8378
2014-10-01,8356
2014-09-01,8334
2014-08-01,8312
2014-07-01,8290
2014-06-01,8268
2014-05-01,8246
2014-04-01,8224
2014-03-01,8202
2014-02-01,8180
2014-01-01,8158
2013-12-01,8136
2013-11-01,8114
2013-10-01,8092
2013-09-01,8070
2013-08-01,8048
2013-07-01,8026
2013-06-01,8004
2013-05-01,7982
2013-04-01,7960
2013-03-01,7938
2013-02-01,7916
2013-01-01,7894
2012-12-01,7872
2012-11-01,7850
2012-10-01,7828
2012-09-01,7806
2012-08-01,7784
2012-07-01,7762
2012-06-01,7740
2012-05-01,7718
2012-04-01,7696
2012-03-01,7674
2012-02-01,7652
2012-01-01,7630 
